2026-09-16 20:55:43[信息] :  开始设计规则检查。
2026-09-16 20:55:43[警告] :  导线 ADC_DOUT_XU18 $5N152 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 CTRL_RX_XU18 $5N153 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 CTRL_TX_XU18 $5N154 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 DAC_DIN_XU18 $5N155 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 DEBUG_RX_XU18 $5N156 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 DEBUG_TX_XU18 $5N157 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 I2S_BCLK_XU18 $5N158 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 I2S_LRCLK_XU18 $5N159 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 JTCK18 $5N160 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 JTDI18 $5N161 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 JTDO18 $5N162 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 JTMS18 $5N163 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 QSPI_CS_N_1V8 $5N164 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 QSPI_IO1_1V8 $5N166 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 QSPI_IO2_1V8 $5N167 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 QSPI_IO3_1V8 $5N168 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 QSPI_IO0_1V8 $5N165 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 QSPI_SCLK_1V8 $5N169 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 USB_HUB1_DM $5N170 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 USB_HUB1_DP $5N171 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 VBUS_SENSE_1V8 $5N150 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XSCOPE_IN1_1V8 $5N182 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XSCOPE_IN0_1V8 $5N181 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XSCOPE_OUT1_1V8 $5N184 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XSCOPE_OUT0_1V8 $5N183 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XU_RST_N_1V8 $5N187 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XU_XIN $5N188 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 XU_XOUT $5N189 是单网络，仅连接了一个元件引脚。
2026-09-16 20:55:43[警告] :  导线 $5N226 有多个网络名: V1V8、V1V8、V1V8、V1V8、V1V8、V1V8
2026-09-16 20:55:44[警告] :  元件的属性与供应商编号不匹配。，建议使用器件标准化: C101($5I3),C102($5I4),C103($5I5),C104($5I6),C105($5I7),C106($5I8),C107($5I9),C108($5I10),C109($5I11),C110($5I12),C111($5I13),C112($5I14),C113($5I15),C114($5I16),C115($5I17),C116($5I18),C117($5I19),C118($5I20)
2026-09-16 20:55:44[信息] :  完成设计规则检查。 致命错误： 0, 错误：0，警告：30，信息：0。
