file,pdf_pages,key_pages,report,verdict,notes,sha256
AP7361C.pdf,22,1;2;4;5;6;10;11;12;13,power.md,已核验；3.6V前级最差压差和600mA保证不足，需修正设计,本地DS37274 Rev.5-2/22页。-33E SOT223=1IN/2GND/3OUT，无EN；ER脚序不同。推荐VIN2.2–6V/1A，绝对VIN6.5V。3.3V/300mA dropout90typ/140max mV@25C；1A340mV typ且max空白，首页360typ。thetaJA110C/W，0.18W约20C非11C。CIN1uF/COUT2.2uF最低要求需料号有效值。已渲染电气表确认列。,9b64f49c5975b2baf2360248a75212599bde8bf083d315d936e4f1c93b2e1f92
CA-IS3720.pdf,25,1;4;6;8;9;10;17;18,digital-protection.md,已审阅；条件及未闭合项见分报告,2.375–5.5V、VIH2V、双同向；非1.8V接口或USB480Mbps隔离。,e0570f476c6a89dd066427feaa2feb157c942b1a73c2f74405c89c366f0f8d16
CH334DS1_WCH.pdf,32,1;2;3;4;5;6;7;8;9;13;14;15;16;17;18;21;22;24;28;29;30,usb-bridges.md,reviewed_manufacturer_pdf_from_distributor_mirror,WCH CH334/335 Datasheet V2.5，Adafruit镜像，419558 bytes，32物理页；p2起印刷页=N-1；原厂发布页：https://www.wch-ic.com/downloads/CH334DS1_PDF.html；镜像：https://cdn-learn.adafruit.com/assets/assets/000/131/435/original/CH334DS1.PDF；SHA256 c078817182e320e7bc1c2f5d28b361a55246bac70d4a07b05cb0e997dedea586；CH334U为QSOP28 0.635mm；V5=20，VDD33=13/21，XI=3/XO=2；外晶振12MHz且内置负载电容；3.3V模式V5及全部VDD33接3.2-3.4V；5V LDO模式V5额定4.5-5.25V；不能只接一个含糊VDD脚；电流表物理p21已渲染：4HS下游typ85mA、1HS typ42mA，最大栏未给值；1HS+3FS须实测；U仅GANG过流控制；PSELF默认自供电；RESET/CDP上电主动高可能开充电并禁挂起；没有绕过验证码或鉴权；镜像版未与官网当前最新版做二进制一致性比对,c078817182e320e7bc1c2f5d28b361a55246bac70d4a07b05cb0e997dedea586
CH343DS1_WCH.pdf,13,1;2;3;4;5;6;7;8;9;10;11;12;13,usb-bridges.md,reviewed_manufacturer_pdf_independent_1v8_vio_confirmed,WCH CH343 Datasheet V2.0，Waveshare镜像，277847 bytes，13物理页，页码与印刷一致；镜像：https://files.waveshare.com/wiki/ESP32-S3-LCD-1.3/CH343DS1_EN.pdf；官方产品说明支持1.8V UART及内置晶振；SHA256 d1dba2658f17b842a14a1911e65ce1a19fa8d1fdb8f777183e4cde4febb34865；p2封装图和p3逐型号表已渲染核对：CH343P QFN16 3x3mm 0.5mm，有独立VIO pin1；VDD5 pin3，V3 pin6；VIO额定1.7-5.5V支持1.8V；USB/核心仍需VDD5=4.0-5.5V或VDD5=V3=3.0-3.6V；XU调试桥VIO接V1V8可建立直接UART连接；标称门槛已与XU316 PDF物理p32对照，仍需容差/驱动/负载验证；IVDD typ3/max15mA另计IO负载；UART最高6Mbps，USB是FS12Mbps；VBUS单独检测，UD±不加额外串阻；立创候选PDF下载403未保存错误页面；未宣称镜像是最新版本；驱动枚举未实测,d1dba2658f17b842a14a1911e65ce1a19fa8d1fdb8f777183e4cde4febb34865
CS4272_Cirrus.pdf,54,1;5;6;7;8;9;10;11;14;15;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35;36;45;46,converters.md,reviewed_alternative_requires_power_logic_and_control_adaptation,"DS593F2 October2021, 54 physical PDF pages；28TSSOP; VA4.75-5.25V, VD3.1-5.25V, VL2.37-5.25V; absolute6V isnot operatingrating；VCOM0.48VA andFILT+ references are not supplyinputs; VCOMcap<=1uF, MUTEC level followsVA；I2C<=100kHz with7bit0x10/11; SPIwriteonly; releaseRST then write07h=03h within10ms forcontrolport mode；MCLK<=25.6MHzstandalone/51.2MHzcontrol; ADC/DAC24effectivebits up to200kHz speedtable；AD0-toVA wording conflicts withgeneric VL+0.3V pinlimit whenVL<VA; groundedAD0 avoids issue pendingvendorclarification；DAC requires>=3kohm load and<=100pF; use measurement-specific114dBA/-100dB conditions",2131186726423740c97d6577a7d9d72aa673aeb61eb0a569e55a572f17d324fe
EC11.pdf,8,1;2;3;5,digital-protection.md,已审阅；条件及未闭合项见分报告,扫描件EC11L1525E05；旋转1mA/按键500uA MIN，10k/内部上拉未获保证。,d9827e1c920af6f65b666435531500ee2d37e3a3ff2fa0f0f0ceadf743288b13
ES7210.pdf,11,1;2;3;4;5;6;7;8;9;10;11,converters.md,reviewed_with_datasheet_conflicts_and_missing_configuration_guide,"Rev9.1 January2019, 11 physical PDF pages; actual text read, pages2/10 visually rendered；VDDD/VDDP/VDDA/VDDM are external supplies, not ESS-style internal DVDD; VDDA<2V requires PGA gain above30dB；Pin table CCLK/CDATA ordering conflicts with package and reference figures；Feature100kHz and normal96kHz descriptions conflict with192kHz test/200kHz interface tables; do not infer192kHz functional support；Missing complete register guide, input common-mode guarantee and full measurement conditions",909a13dcd8770835914ef0de0cb5a44aba6d4312daf1d99768e0dab65f0e87e6
ES8156.pdf,12,1;2;3;4;5;6;7;8;9;10;11;12,converters.md,reviewed_with_missing_configuration_and_load_conditions,"Rev3.0 July2019, 12 physical PDF pages; actual text read, package page12 visually rendered；External DVDD/PVDD1.6-3.6V, AVDD1.7-3.6V; PVDD sets IO thresholds；Functional sample range8-96kHz; LRCK200kHz timing maximum does not establish192kHz operation；MCLK maximum49.2MHz, I2C7bit0x08/09, capless HPCOM is not ground；Short datasheet lacks full register initialization and headphone-load performance guarantees",2ebdfd79fa11c1f8a548321cfb83288aaa9ac95f94f7a4e8b412a96d6fa42265
ES9018K2M.pdf,41,1;3;4;5;6;7;8;10;27;28;29;30;31;36,converters.md,reviewed_conditional_external_dvdd_documented,"v3.7 April22,2021, 41 physical PDF pages；Internal1.2V DVDD default; explicit external1.3V+/-5% mode for specified high-clock/sample-rate conditions；External supply above internal1.2V disables internal source; externalDVDD no earlier thanDVCC; shut down in standby；MCLK100MHz requires external1.3V DVDD and3.3V DVCC according to page31 note2；DNR127dBA andTHD+N-120dB are differential-current-mode test results, not guaranteed direct line-drive performance",91b34f2fac4634eb3f2a801330b8ec941920a71ac82b7bff3a81ff6461a29dd2
ES9038Q2M.pdf,65,1;3;4;5;6;9;10;11;14;49;50;51;52;60;64,converters.md,reviewed_internal_dvdd_standard_external_mode_not_established,"v1.4 January20,2021, 65 physical PDF pages；30QFN, DVCC1.8/3.3V; internalDVDD1.2V with4.7uF recommended and effective>=1uF；No externalDVDD enable/disable/tolerance/sequence conditions found in this PDF; do not generalize into absolute ban or permission；XI<=100MHz, MCLK=XI/2^clk_gear; I2C speed additionally depends onMCLK；I2C multi-byte reads explicitly unsupported; 5V-tolerant pins only withDVCC3.3V；DNR128dBA at differential current mode, RDAC774ohm+/-11%",9a37f92e8b1bdad1b5479cbdd44437962fc33a37a25f925ce16dcd5fb3e7d58a
