Spec_ID,Group,Use,Value,Tolerance,Technology,Voltage_Rating,Power_Rating,TCR,Package_Target,Design_Status,Critical_Constraints,Source,Assembly_Option,Refdes,Quantity,Manufacturer,MPN,LCSC,PCB_Footprint,Part_Status
R01,普通电阻,I2S/UART源端阻尼,22R,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,依上升时间和走线调整；不套用USB D+/D-,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C23345,,未匹配
R02,普通电阻,时钟源端阻尼,33R,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,须计时序裕量，不与22R自动互换,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C23140,,未匹配
R03,普通电阻,模拟隔离/阻尼备用值,100R,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,待计算,旧ADC串阻仅拓扑候选，不批准直流跨共模连接,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2906981,,未匹配
R04,普通电阻,MOS栅极限流/接点RC串阻,1k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,可先落图,接点RC上拉必须位于串阻前；栅极驱动按目标MOS核对,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2907002,,未匹配
R05,普通电阻,3.3V I2C上拉,2.2k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,按总线C/速度/VOL灌电流核算；每电压段仅计实际并联等效上拉,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C4190,,未匹配
R06,普通电阻,EC11旋转A/B原始接点上拉,2.7k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,可先落图,仅针对EC11L1525E05与3.0-3.6V；最小电流约1.10mA,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,,,未匹配
R07,普通电阻,EC11内置按键上拉,4.7k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,可先落图,仅针对已核型号；最小约0.632mA；不用于旋转1mA接点,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,,,未匹配
R08,普通电阻,USB-C CC1/CC2各自Rd,5.1k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,可先落图,两只独立；不是ESD器件或更高取电额度许可,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2907044,,未匹配
R09,普通电阻,SY6280 ISET候选,6.8k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,1A typ，手册0.75-1.25A；系统限流目标未冻结,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2907055,,未匹配
R10,普通电阻,普通数字上拉/复位/PG上拉,10k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,回接接收端电源域；不作为EC11通用上拉；复位/PG阈值另核,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2930027,,未匹配
R11,普通电阻,VBUS泄放/芯片模式电阻候选,47k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,各位置分别核电源/模式，不能按同阻值归为同一功能,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2907042,,未匹配
R12,普通电阻,MOS栅源下拉/普通慢速偏置,100k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,条件候选,48V泄放位另选高耐压规格；EN不统一套此值,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C2906980,,未匹配
R13,普通电阻,XU VBUS检测分压上臂,220k,1%,厚膜,>=50V,>=0.1W,<=100ppm/°C,0603（1608公制）,可先落图,配100k下臂，检测真实VUSB；1.8V域；仍核容差与关电反灌,数字/USB审计与项目默认；功能约束见Use,拟装,,,,,C22961,,未匹配
R14,普通电阻,信号跳线/DNP旁路,0R,按短路电阻规格,厚膜跳线,,按额定电流,,0603（1608公制）,条件候选,核最大电阻/温升/载流；不默认用于主电源路径；与被旁路器件互斥装配,项目工程建议,按选项,,,,,C2906974,,未匹配
R20,精密及音频电阻,SY8089核心0.9V上反馈,100k,0.10%,薄膜,>=50V,>=0.1W,<=25ppm/°C,0603（1608公制）,条件候选,仅在对应芯片和目标电源保留时使用；参考源误差/热漂/动态电压另计,datasheet-audit/power.md,拟装,,,,,C122538,,未匹配
R21,精密及音频电阻,SY8089核心0.9V下反馈,200k,0.10%,薄膜,>=50V,>=0.1W,<=25ppm/°C,0603（1608公制）,条件候选,仅在对应芯片和目标电源保留时使用；参考源误差/热漂/动态电压另计,datasheet-audit/power.md,拟装,,,,,C2989567,,未匹配
R22,精密及音频电阻,GM1205/LT3045的3.3V SET,33.0k,0.10%,薄膜,>=50V,>=0.1W,<=25ppm/°C,0603（1608公制）,条件候选,仅在对应芯片和目标电源保留时使用；参考源误差/热漂/动态电压另计,datasheet-audit/power.md,拟装,,,,,C24899104,,未匹配
R23,精密及音频电阻,单路幻象的两支馈电,6.81k,0.1%；配对差<=0.1%,薄膜/金属膜,>=100V,建议>=1W,<=25ppm/°C；优先低跟踪温漂,优先2512或合适轴向封装,可先落图,按暂用52V筛选包络每支短路约0.397W；工作温度降额后>=实际故障耗散；配对差需筛选/网络规格证实,datasheet-audit/analog.md §1；功率/封装为工程建议,拟装,,,,,,,未匹配
